"TimeGenerated","FailedInstall","NeedingUpdates","PendingReboot","UpToDate","StaleComputers","UpdatedComputers"
2021-04-14 21:06:17,0,0,0,0,1,0
2021-04-14 21:08:20,0,0,0,0,1,0

